loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
9;icc_nbody3;main;6;nbody3.c:60-73;Innermost;98.1;1.55;;;;;;
7;icc_nbody3;main;6;nbody3.c:53-78;InBetween;0.63;0.01;;;;;;
