function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
9;gcc_nbody3;move_particles;nbody3.c:47-88;99.47;1.89;;;;;;"100,0,0,0,0,0,0,0,0,0";
8;gcc_nbody3;init;nbody3.c:22-44;0.53;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
