Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.63;98.73;0;315;0;0.63;0;0;0;1.58;0;0;
knl06;_ALL;_ALL;0.63;98.73;0;315;0;0.63;0;0;0;1.58;0;0;
knl06;483167;_ALL;0.63;98.73;0;315;0;0.63;0;0;0;1.58;0;0;
knl06;483167;483167;0.63;98.73;0;315;0;0.63;0;0;0;1.58;0;0;
