block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
98;gcc_nbody4;nbody4.c:60-73;98.88;1.77;1.77;1.77;1.77;0;1;
104;gcc_nbody4;nbody4.c:60-60;0.56;0.01;0.01;0.01;0.01;0;1;
