name;time_p;time_s;cpi_ratio;
/users/user2233/nbody3D/nbody4/maqao_gcc_nbody4/binaries/gcc_nbody4;99.44;1.78;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.56;0.01;;
