loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
5;gcc_nbody4;move_particles;9;nbody4.c:60-73;Innermost;98.88;1.77;1.77;1.77;1.77;0;1;
3;gcc_nbody4;move_particles;9;nbody4.c:53-78;Outermost;0.56;0.01;0.01;0.01;0.01;0;1;
