function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
9;gcc_nbody4;move_particles;nbody4.c:47-88;99.44;1.78;1.78;1.78;1.78;0;1;"100,0,0,0,0,0,0,0,0,0";
229;libc-2.31.so;random;;0.56;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,0,0,0,100";
