loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
9;icc_nbody4;main;6;nbody4.c:60-73;Innermost;97.78;1.54;1.54;1.54;1.54;0;1;
7;icc_nbody4;main;6;nbody4.c:53-78;InBetween;0.95;0.01;0.01;0.01;0.01;0;1;
11;icc_nbody4;main;6;nbody4.c:30-42;Single;0.63;0.01;0.01;0.01;0.01;0;1;
