Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0026;1.003;1.0059;1.1392;
2;1.0037;1.0058;1.0111;1.1474;
3;1.0037;1.0058;1.0111;1.1541;
